title;text_cleaning;title_preprocessing;target_class
When the Rolling Pins Hit the Streets: Women in the Anti Price Rise Movement in Maharashtra;rolling pin hit street woman anti price rise movement maharashtra;['rolling', 'pin', 'hit', 'street', 'woman', 'anti', 'price', 'rise', 'movement', 'maharashtra'];general
Smokey;smokey;['smokey'];general
David Wilkerson: The Cross, the Switchblade, and the Man Who Believed;david wilkerson cross switchblade man believed;['david', 'wilkerson', 'cross', 'switchblade', 'man', 'believed'];general
Insect Pests;insect pest;['insect', 'pest'];general
The Diary of Hamman Yaji: Chronicle of a West African Muslim Ruler;diary hamman yaji chronicle west african muslim ruler;['diary', 'hamman', 'yaji', 'chronicle', 'west', 'african', 'muslim', 'ruler'];general
Blood on the Altar: The Coming War Between Christian vs. Christian;blood altar coming war christian v christian;['blood', 'altar', 'coming', 'war', 'christian', 'v', 'christian'];social-humanaria
The Muscular System Manual: The Skeletal Muscles of the Human Body, 3e;muscular system manual skeletal muscle human body e;['muscular', 'system', 'manual', 'skeletal', 'muscle', 'human', 'body', 'e'];social-humanaria
Bernie Williams (Baseball Superstars);bernie williams baseball superstar;['bernie', 'williams', 'baseball', 'superstar'];general
Line of Vision;line vision;['line', 'vision'];general
"ADDYI Tablet: The ""Female Viagra"" Indicated for the Treatment of Premenopausal Women with Acquired, Generalized Hypoactive Sexual Desire Disorder";addyi tablet female viagra indicated treatment premenopausal woman acquired generalized hypoactive sexual desire disorder;['addyi', 'tablet', 'female', 'viagra', 'indicated', 'treatment', 'premenopausal', 'woman', 'acquired', 'generalized', 'hypoactive', 'sexual', 'desire', 'disorder'];sains-tech
Fragile Things: Short Fictions and Wonders;fragile thing short fiction wonder;['fragile', 'thing', 'short', 'fiction', 'wonder'];general
Red: The True Story of Red Riding Hood;red true story red riding hood;['red', 'true', 'story', 'red', 'riding', 'hood'];general
Barbara Hepworth: The Plasters;barbara hepworth plaster;['barbara', 'hepworth', 'plaster'];general
Sea Magic: Connecting with the Ocean's Energy;sea magic connecting ocean energy;['sea', 'magic', 'connecting', 'ocean', 'energy'];general
Doodle Stitching: The Motif Collection: 400+ Easy Embroidery Designs;doodle stitching motif collection easy embroidery design;['doodle', 'stitching', 'motif', 'collection', 'easy', 'embroidery', 'design'];social-humanaria
New Mexico Cuisine: Recipes from the Land of Enchantment;new mexico cuisine recipe land enchantment;['new', 'mexico', 'cuisine', 'recipe', 'land', 'enchantment'];general
Say Uncle!: Catch-As-Catch-Can Wrestling and the Roots of Ultimate Fighting, Pro Wrestling & Modern Grappling;say uncle catchascatchcan wrestling root ultimate fighting pro wrestling modern grappling;['say', 'uncle', 'catchascatchcan', 'wrestling', 'root', 'ultimate', 'fighting', 'pro', 'wrestling', 'modern', 'grappling'];general
A Woman's Guide to Thriving after Prostate Cancer;woman guide thriving prostate cancer;['woman', 'guide', 'thriving', 'prostate', 'cancer'];sains-tech
47 Secret Veterans' Benefits for Seniors - Benefits You Have Earned...but Don't Know About!;secret veteran benefit senior benefit earnedbut dont know;['secret', 'veteran', 'benefit', 'senior', 'benefit', 'earnedbut', 'dont', 'know'];general
Lighthouses 2010 Hardcover Weekly Engagement;lighthouse hardcover weekly engagement;['lighthouse', 'hardcover', 'weekly', 'engagement'];general
The Art of Parenting Twins: The Unique Joys and Challenges of Raising Twins and Other Multiples [Paperback] [1999] (Author) Patricia Malmstrom, Janet Poland;art parenting twin unique joy challenge raising twin multiple paperback author patricia malmstrom janet poland;['art', 'parenting', 'twin', 'unique', 'joy', 'challenge', 'raising', 'twin', 'multiple', 'paperback', 'author', 'patricia', 'malmstrom', 'janet', 'poland'];social-humanaria
Christian Mythology: Revelations of Pagan Origins;christian mythology revelation pagan origin;['christian', 'mythology', 'revelation', 'pagan', 'origin'];general
Operation Greylord: The True Story of an Untrained Undercover Agent and America's Biggest Corruption Bust;operation greylord true story untrained undercover agent america biggest corruption bust;['operation', 'greylord', 'true', 'story', 'untrained', 'undercover', 'agent', 'america', 'biggest', 'corruption', 'bust'];general
Kaplan TOEFL iBT Premier 2016-2017 with 4 Practice Tests: Book + CD + Online + Mobile (Kaplan Test Prep);kaplan toefl ibt premier practice test book cd online mobile kaplan test prep;['kaplan', 'toefl', 'ibt', 'premier', 'practice', 'test', 'book', 'cd', 'online', 'mobile', 'kaplan', 'test', 'prep'];general
The Science of Mind: A Philosophy, A Faith, A Way of Life;science mind philosophy faith way life;['science', 'mind', 'philosophy', 'faith', 'way', 'life'];social-humanaria
How Fibber McGee and Molly Won World War II;fibber mcgee molly world war ii;['fibber', 'mcgee', 'molly', 'world', 'war', 'ii'];social-humanaria
When the Chenoo Howls: Native American Tales of Terror;chenoo howl native american tale terror;['chenoo', 'howl', 'native', 'american', 'tale', 'terror'];general
Practical Machine Learning: A New Look at Anomaly Detection;practical machine learning new look anomaly detection;['practical', 'machine', 'learning', 'new', 'look', 'anomaly', 'detection'];sains-tech
Memories, Hopes, and Conversations: Appreciative Inquiry and Congregational Change;memory hope conversation appreciative inquiry congregational change;['memory', 'hope', 'conversation', 'appreciative', 'inquiry', 'congregational', 'change'];sains-tech
Buying a Used Car : A Consumer Guide From the Federal Trade Commission;buying used car consumer guide federal trade commission;['buying', 'used', 'car', 'consumer', 'guide', 'federal', 'trade', 'commission'];general
Bittere Rache: Fühlst Du Sie? (German Edition);bittere rache fühlst du sie german edition;['bittere', 'rache', 'fühlst', 'du', 'sie', 'german', 'edition'];general
Holt Science & Technology: Student Edition Physical Science 2007;holt science technology student edition physical science;['holt', 'science', 'technology', 'student', 'edition', 'physical', 'science'];sains-tech
ICD-9-CM 2015 Professional Edition for Hospitals, Vols 1,2&3 (ICD-9-CM for Hospitals Vols 1,2&3 Professional Edition, Spir);icdcm professional edition hospital vols icdcm hospital vols professional edition spir;['icdcm', 'professional', 'edition', 'hospital', 'vols', 'icdcm', 'hospital', 'vols', 'professional', 'edition', 'spir'];sains-tech
Integrated Chinese Level 1 Part 1 Workbook: Simplified Characters;integrated chinese level part workbook simplified character;['integrated', 'chinese', 'level', 'part', 'workbook', 'simplified', 'character'];social-humanaria
Introduction to Crystallography (Dover Books on Chemistry);introduction crystallography dover book chemistry;['introduction', 'crystallography', 'dover', 'book', 'chemistry'];sains-tech
Cool Japan: A Guide to Tokyo, Kyoto, Tohoku and Japanese Culture Past and Present (Museyon Guides);cool japan guide tokyo kyoto tohoku japanese culture past present museyon guide;['cool', 'japan', 'guide', 'tokyo', 'kyoto', 'tohoku', 'japanese', 'culture', 'past', 'present', 'museyon', 'guide'];social-humanaria
The House of Belonging;house belonging;['house', 'belonging'];general
Tarascon Internal Medicine & Critical Care Pocketbook;tarascon internal medicine critical care pocketbook;['tarascon', 'internal', 'medicine', 'critical', 'care', 'pocketbook'];general
Game-Changing Strategies: How to Create New Market Space in Established Industries by Breaking the Rules;gamechanging strategy create new market space established industry breaking rule;['gamechanging', 'strategy', 'create', 'new', 'market', 'space', 'established', 'industry', 'breaking', 'rule'];social-humanaria
A Lifetime Companion to the Laws of Jewish Family Life;lifetime companion law jewish family life;['lifetime', 'companion', 'law', 'jewish', 'family', 'life'];social-humanaria
Invoking Your Celestial Guardians;invoking celestial guardian;['invoking', 'celestial', 'guardian'];general
Rainbow HAND Reflexology/ Acupressure Massage Chart;rainbow hand reflexology acupressure massage chart;['rainbow', 'hand', 'reflexology', 'acupressure', 'massage', 'chart'];social-humanaria
Health Care Administration: Managing Organized Delivery Systems, 5th Edition;health care administration managing organized delivery system th edition;['health', 'care', 'administration', 'managing', 'organized', 'delivery', 'system', 'th', 'edition'];sains-tech
Shadowrun Unwired (Shadowrun (Catalyst Hardcover));shadowrun unwired shadowrun catalyst hardcover;['shadowrun', 'unwired', 'shadowrun', 'catalyst', 'hardcover'];general
Matchbox Toys: The Tyco Years 1993-1994 (A Schiffer Book for Collectors);matchbox toy tyco year schiffer book collector;['matchbox', 'toy', 'tyco', 'year', 'schiffer', 'book', 'collector'];general
It Must've Been Something I Ate;mustve something ate;['mustve', 'something', 'ate'];general
The Man Who Quit Money;man quit money;['man', 'quit', 'money'];social-humanaria
The Six-Spoke Approach to Golf;sixspoke approach golf;['sixspoke', 'approach', 'golf'];general
David Stark: The Art of the Party;david stark art party;['david', 'stark', 'art', 'party'];social-humanaria
"Diary Of A 12 Inch Brotha!: ""The Ruler is Back"" (12 Inch Brotha Trilogy) (Volume 1)";diary inch brotha ruler back inch brotha trilogy volume;['diary', 'inch', 'brotha', 'ruler', 'back', 'inch', 'brotha', 'trilogy', 'volume'];general
Adult Coloring Book: Coloring Books for Adults : Stress Relieving Patterns (Volume 10);adult coloring book coloring book adult stress relieving pattern volume;['adult', 'coloring', 'book', 'coloring', 'book', 'adult', 'stress', 'relieving', 'pattern', 'volume'];general
Adobe Photoshop CS6 for Photographers: A professional image editor's guide to the creative use of Photoshop for the Macintosh and PC;adobe photoshop c photographer professional image editor guide creative use photoshop macintosh pc;['adobe', 'photoshop', 'c', 'photographer', 'professional', 'image', 'editor', 'guide', 'creative', 'use', 'photoshop', 'macintosh', 'pc'];general
True Spirit: The True Story of a 16-Year-Old Australian Who Sailed Solo, Nonstop, and Unassisted Around the World;true spirit true story yearold australian sailed solo nonstop unassisted around world;['true', 'spirit', 'true', 'story', 'yearold', 'australian', 'sailed', 'solo', 'nonstop', 'unassisted', 'around', 'world'];general
Real-Life Discipleship Training Manual: Equipping Disciples Who Make Disciples;reallife discipleship training manual equipping disciple make disciple;['reallife', 'discipleship', 'training', 'manual', 'equipping', 'disciple', 'make', 'disciple'];general
7,500 Marriages from Old Ninety-Six & Abbeville District, S.C., (1774-1890;marriage old ninetysix abbeville district sc;['marriage', 'old', 'ninetysix', 'abbeville', 'district', 'sc'];general
Nutrition and Behavior: New Perspectives;nutrition behavior new perspective;['nutrition', 'behavior', 'new', 'perspective'];general
VERANDA The Art of Outdoor Living;veranda art outdoor living;['veranda', 'art', 'outdoor', 'living'];social-humanaria
"Blank Cookbook: Recipes & Notes; Football, Tailgate Party (1)";blank cookbook recipe note football tailgate party;['blank', 'cookbook', 'recipe', 'note', 'football', 'tailgate', 'party'];social-humanaria
Gut: The Inside Story of Our Body's Most Underrated Organ;gut inside story body underrated organ;['gut', 'inside', 'story', 'body', 'underrated', 'organ'];sains-tech
Multinational Business Finance;multinational business finance;['multinational', 'business', 'finance'];social-humanaria
National Incident Management System: Principles And Practice;national incident management system principle practice;['national', 'incident', 'management', 'system', 'principle', 'practice'];social-humanaria
The Word We Celebrate: Commentary on the Sunday Lectionary, Years A, B & C;word celebrate commentary sunday lectionary year b c;['word', 'celebrate', 'commentary', 'sunday', 'lectionary', 'year', 'b', 'c'];general
Childrens Encyclopedia: The Usborne Internet-Linked (First Encyclopedias);childrens encyclopedia usborne internetlinked first encyclopedia;['childrens', 'encyclopedia', 'usborne', 'internetlinked', 'first', 'encyclopedia'];general
Early One Morning;early one morning;['early', 'one', 'morning'];general
Unveiling Grace: The Story of How We Found Our Way out of the Mormon Church;unveiling grace story found way mormon church;['unveiling', 'grace', 'story', 'found', 'way', 'mormon', 'church'];general
