title;text_cleaning;category;target_class
Great Lakes Shipping Ports & Cargoes (Photo Gallery);great lake shipping port cargo photo gallery;Arts & Photography;general
Modern Charge-Density Analysis;modern chargedensity analysis;Science & Math;sains-tech
Where to Ski & Snowboard 2014;ski snowboard;Sports & Outdoors;general
"Bridal Shower Game and Keepsake: ""The Story of Us"" Pass Around";bridal shower game keepsake story u pas around;Crafts, Hobbies & Home;general
Changing Our Mind, second edition;changing mind second edition;Christian Books & Bibles;general
The Amityville Horror;amityville horror;Biographies & Memoirs;general
Bits & Spurs: Motifs, Techniques and Modern Makers;bit spur motif technique modern maker;Humor & Entertainment;general
Principles of Mathematical Analysis;principle mathematical analysis;Science & Math;sains-tech
Kenya: The Quest For Prosperity, Second Edition (Westview Profiles/Nations of Contemporary Africa);kenya quest prosperity second edition westview profilesnations contemporary africa;History;general
Stepchildren Speak: 10 Grown-Up Stepchildren Teach Us How to Build Healthy Stepfamilies;stepchild speak grownup stepchild teach u build healthy stepfamilies;Parenting & Relationships;sains-tech
Y: The Last Man, Vol. 6: Girl on Girl;last man vol girl girl;Comics & Graphic Novels;general
AQA GCSE Human Health and Physiology;aqa gcse human health physiology;Teen & Young Adult;sains-tech
Transients in Electrical Systems: Analysis, Recognition, and Mitigation;transient electrical system analysis recognition mitigation;Business & Money;sains-tech
Close Obsession: The Krinar Chronicles, Volume 2;close obsession krinar chronicle volume;Romance;general
The Kitchen Witch: A Year-round Witch's Brew of Seasonal Recipes, Lotions and Potions for Every Pagan Festival;kitchen witch yearround witch brew seasonal recipe lotion potion every pagan festival;Cookbooks, Food & Wine;general
The Lands of Ice and Fire (A Game of Thrones): Maps from King's Landing to Across the Narrow Sea;land ice fire game throne map king landing across narrow sea;Science Fiction & Fantasy;general
State of War: The Secret History of the CIA and the Bush Administration;state war secret history cia bush administration;Law;social-humanaria
Celtic Designs CD-ROM and Book (Dover Electronic Clip Art);celtic design cdrom book dover electronic clip art;Arts & Photography;sains-tech
The Oxford Handbook of Affective Computing (Oxford Library of Psychology);oxford handbook affective computing oxford library psychology;Computers & Technology;sains-tech
The Fundamentals of Visualization, Modeling, and Graphics for Engineering Design;fundamental visualization modeling graphic engineering design;Engineering & Transportation;sains-tech
Gravity and Grace (Routledge Classics);gravity grace routledge classic;Politics & Social Sciences;general
Nonnegative Matrix and Tensor Factorizations: Applications to Exploratory Multi-way Data Analysis and Blind Source Separation;nonnegative matrix tensor factorization application exploratory multiway data analysis blind source separation;Science & Math;sains-tech
Idiot's Guides: Succulents;idiot guide succulent;Crafts, Hobbies & Home;general
Identity Theft;identity theft;Christian Books & Bibles;general
Awakening: Life Lessons from the Sidhe;awakening life lesson sidhe;Religion & Spirituality;general
Codependence / The Dance of Wounded Souls;codependence dance wounded soul;Self-Help;general
Deadly Spin: An Insurance Company Insider Speaks Out on How Corporate PR Is Killing Health Care and Deceiving Americans;deadly spin insurance company insider speaks corporate pr killing health care deceiving american;Business & Money;sains-tech
The Poetry of Robert Frost: The Collected Poems, Complete and Unabridged;poetry robert frost collected poem complete unabridged;Literature & Fiction;general
The De-Textbook: The Stuff You Didn't Know About the Stuff You Thought You Knew;detextbook stuff didnt know stuff thought knew;Humor & Entertainment;general
The Worlds of a Maasai Warrior: An Autobiography;world maasai warrior autobiography;History;social-humanaria
Ornamental Conifers;ornamental conifer;Crafts, Hobbies & Home;general
The North American Maria Thun Biodynamic Calendar 2015;north american maria thun biodynamic calendar;Science & Math;general
The Affair (Jack Reacher);affair jack reacher;Mystery, Thriller & Suspense;general
Animal Magic - Under The Sea: Anti-Stress Animal Art Therapy;animal magic sea antistress animal art therapy;Arts & Photography;social-humanaria
Studying Congregations: A New Handbook;studying congregation new handbook;Christian Books & Bibles;general
Greg Kelser's Tales from Michigan State Basketball;greg kelsers tale michigan state basketball;Sports & Outdoors;general
Negotiation and Settlement Advocacy: A Book of Readings (American Casebook Series);negotiation settlement advocacy book reading american casebook series;Law;general
Home Cooking for Your Dog: 75 Holistic Recipes for a Healthier Dog;home cooking dog holistic recipe healthier dog;Crafts, Hobbies & Home;sains-tech
Managing Business Ethics: Straight Talk about How to Do It Right;managing business ethic straight talk right;Business & Money;social-humanaria
Metalevel Architectures and Separation of Crosscutting Concerns: Third International Conference, REFLECTION 2001, Kyoto, Japan, September 25-28, 2001 Proceedings (Lecture Notes in Computer Science);metalevel architecture separation crosscutting concern third international conference reflection kyoto japan september proceeding lecture note computer science;Computers & Technology;sains-tech
Good Housekeeping The Great Potluck Cookbook: Our Favorite Recipes for Carry-In Suppers, Brunch Buffets, Tailgate Parties & More!;good housekeeping great potluck cookbook favorite recipe carryin supper brunch buffet tailgate party;Cookbooks, Food & Wine;social-humanaria
Fabulous Fabrications from Busted Hockey Gear;fabulous fabrication busted hockey gear;Humor & Entertainment;general
A Room of One's Own;room one;Literature & Fiction;general
Querida Malala (Spanish Edition);querida malala spanish edition;Teen & Young Adult;general
Streams of Mercy (Song of Blessing);stream mercy song blessing;Romance;general
The Green Garden: A New England Guide to Planting and Maintaining the Eco-Friendly Habitat Garden;green garden new england guide planting maintaining ecofriendly habitat garden;Crafts, Hobbies & Home;general
From Enemy to Brother: The Revolution in Catholic Teaching on the Jews, 1933-1965;enemy brother revolution catholic teaching jew;Religion & Spirituality;general
Hard Luck Hank: Basketful of Crap (Volume 2);hard luck hank basketful crap volume;Science Fiction & Fantasy;general
The Ultimate Guide to Dorothy Dunnett's The Game of Kings: An illustrated, encyclopedic resource of  translations and historical, literary, ... in the order in which they appear in the book;ultimate guide dorothy dunnetts game king illustrated encyclopedic resource translation historical literary order appear book;Reference;social-humanaria
Landlording on Auto-Pilot: A Simple, No-Brainer System for Higher Profits and Fewer Headaches;landlording autopilot simple nobrainer system higher profit fewer headache;Business & Money;general
They Have Left Us Here to Die: The Civil War Prison Diary of Sgt. Lyle G. Adair, 111th U.S. Colored Infantry (Civil War in the North);left u die civil war prison diary sgt lyle g adair th u colored infantry civil war north;History;social-humanaria
Mouse Guard: Legends of the Guard Volume 1;mouse guard legend guard volume;Comics & Graphic Novels;general
The Horus Chronicles;horus chronicle;Christian Books & Bibles;general
The PCOS Diet Plan: A Natural Approach to Health for Women with Polycystic Ovary Syndrome;pcos diet plan natural approach health woman polycystic ovary syndrome;Parenting & Relationships;sains-tech
The Best Little BBQ Sauces Cookbook;best little bbq sauce cookbook;Cookbooks, Food & Wine;general
Bavarian Landlust;bavarian landlust;Arts & Photography;general
Structured Fluids: Polymers, Colloids, Surfactants;structured fluid polymer colloid surfactant;Science & Math;general
The Scottish Legal System: Fifth Edition;scottish legal system fifth edition;Law;general
Windows Registry Forensics: Advanced Digital Forensic Analysis of the Windows Registry;window registry forensics advanced digital forensic analysis window registry;Computers & Technology;sains-tech
Do You, Rachel, Take Ranching for Better or for Worse?;rachel take ranching better worse;Humor & Entertainment;general
Improve Your Bowls;improve bowl;Sports & Outdoors;general
Brain Injuries in Football (Essential Issues);brain injury football essential issue;Teen & Young Adult;social-humanaria
Dancing at Lughnasa;dancing lughnasa;Literature & Fiction;general
The Official Guide to the GRE Revised General Test, 2nd Edition;official guide gre revised general test nd edition;Test Preparation;general
Compassioning: Basic Counselling Skills for Christian Care-Givers;compassioning basic counselling skill christian caregiver;Religion & Spirituality;general
The Japanese House: Material Culture in the Modern Home (Materializing Culture);japanese house material culture modern home materializing culture;Politics & Social Sciences;social-humanaria
Fusion Economics: How Pragmatism Is Changing the World;fusion economics pragmatism changing world;Business & Money;social-humanaria
Redeeming Love;redeeming love;Romance;general
Marcos Dynasty;marcos dynasty;History;general
How Real Estate Developers Think: Design, Profits, and Community (The City in the Twenty-First Century);real estate developer think design profit community city twentyfirst century;Science & Math;sains-tech
Walking the Clouds: An Anthology of Indigenous Science Fiction (Sun Tracks);walking cloud anthology indigenous science fiction sun track;Science Fiction & Fantasy;general
Introduction to Electrodynamics (4th Edition);introduction electrodynamics th edition;Engineering & Transportation;general
